,Film_title,Release_year,Director,Cast,Personal_rating,Average_rating,Letterboxd URL
31,Lady in the Lake,1946,Robert Montgomery,"['Robert Montgomery', 'Audrey Totter', 'Lloyd Nolan', 'Tom Tully', 'Leon Ames', 'Jayne Meadows', 'Dick Simmons', 'Morris Ankrum', 'Lila Leeds', 'William Roberts', 'Kathleen Lockhart', 'Ellay Mort', 'Ellen Ross', 'Eddie Acuff', 'Charles Bradstreet', 'David Cavendish', 'Wheaton Chambers', 'Roger Cole', 'Frank Dae', 'Jack Davis', 'John Webb Dillion', 'Ralph Dunn', 'Budd Fine', 'John Gallaudet', 'Nina Garson', 'Sherry Hall', 'Cy Kendall', 'Ann Lawrence', 'George Magrill', 'Bert Moorhouse', 'Sandra Morgan', 'Thomas Murray', 'William Newell', 'James Nolan', ""William O'Leary"", 'Frank Orth', 'William McKeever Riley', 'Fred Santley', 'Fred Sherman', 'Florence Stephens', 'George Travell', 'Laura Treadwell', 'Kay Wiley', 'Robert B. Williams']",,3.04,https://letterboxd.com//film/lady-in-the-lake/
32,Cleaners,2019,Glenn Barit,"['Ianna Taguinod', 'Leomar Baloran', 'Julian Narag', 'Carlo Mejia', 'Gianne Rivera', 'Charise Mabbonag', 'Allan Gannaban', 'Andrei Marquez']",,4.19,https://letterboxd.com//film/cleaners-2019/
33,La Pointe-Courte,1955,Agnès Varda,"['Philippe Noiret', 'Silvia Monfort', 'Marcel Jouet', 'Albert Lubrano', 'Anna Banegas', 'André Lubrano', 'Rossette Lubrano']",,3.65,https://letterboxd.com//film/la-pointe-courte/
34,Cube,1997,Vincenzo Natali,"['Nicole de Boer', 'Nicky Guadagni', 'Maurice Dean Wint', 'David Hewlett', 'Andrew Miller', 'Julian Richings', 'Wayne Robson']",,3.24,https://letterboxd.com//film/cube/
35,A Summer's Tale,1996,Éric Rohmer,"['Melvil Poupaud', 'Amanda Langlet', 'Gwenaëlle Simon', 'Aurelia Nolin', 'Aimé Lefèvre', 'Alain Guellaff', 'Evelyne Lahana', 'Yves Guérin', 'Franck Cabot']",,4.02,https://letterboxd.com//film/a-summers-tale/
36,Madame Freedom,1956,Han Hyeong-mo,"['Park Am', 'Kim Jeong-rim', 'No Gyeong-hui', 'Ju Seon-tae', 'Kim Dong-won', 'Go Hyang-mi', 'Yang Mi-hee', 'Lee Min', 'Ahn Na-yeong', 'Go Seon-ae', 'Bang Su-man', 'Choi Nam-hyun', 'Yeon Yeong', 'Bae Seon-hui', 'Sin Mi', 'Yun Geum-ja', 'Park mi ran', 'Baek Seol-hui', 'Na Bok-hui', 'Park Ju-geun']",,3.14,https://letterboxd.com//film/madame-freedom/
37,Boiling Point,2021,Philip Barantini,"['Stephen Graham', 'Vinette Robinson', 'Alice May Feetham', 'Jason Flemyng', 'Hannah Walters', 'Malachi Kirby', 'Izuka Hoyle', 'Taz Skylar', 'Lauryn Ajufo', 'Ray Panthaki', 'Daniel Larkai', 'Lourdes Faberes', 'Áine Rose Daly', ""Robbie O'Neill"", 'Rosa Escoda', 'Stephen McMillan', 'Gary Lamont', 'Alex Heath', 'Gala Botero', 'Philip Hill-Pearson', 'Kieran Urquhart', 'Hannah Traylen', 'Diljohn Singh', 'Alexandra Jordan', 'Kimesha Campbell', 'Caroline Garnell', 'Hester Ruoff', 'Dan Tymon']",,3.99,https://letterboxd.com//film/boiling-point-2021/
38,"Quo Vadis, Aida?",2020,Jasmila Žbanić,"['Jasna Đuričić', 'Izudin Bajrović', 'Boris Ler', 'Dino Bajrović', 'Johan Heldenbergh', 'Raymond Thiry', 'Boris Isaković', 'Emir Hadžihafizbegović', 'Reinout Bussemaker', 'Teun Luijkx', 'Juda Goslinga', 'Alban Ukaj', 'Joes Brauers', 'Rijad Gvozden', 'Ermin Sijamija', 'Job Raaijmakers', 'Ermin Bravo', 'Sanne den Hartogh', 'Micha Hulshof', 'Sol Vinken', 'Emina Muftić', 'Merima Lepić', 'Jovan Živanović', 'Sanela Krsmanović', 'Nusmir Muharemović', 'Alija Aljević', 'Damir Mahmutović', 'Dražen Pavlović']",,4.09,https://letterboxd.com//film/quo-vadis-aida/
39,Sisters,1973,Brian De Palma,"['Margot Kidder', 'Jennifer Salt', 'Charles Durning', 'William Finley', 'Lisle Wilson', 'Barnard Hughes', 'Mary Davenport', 'Dolph Sweet', 'Olympia Dukakis', 'Catherine Gaffigan', 'Bobby Collins', 'Cathy Berry', 'Art Evans', 'Justine Johnston', 'James Mapes', 'Laun Maurer', 'Bob Melvin', 'Burt Richards']",,3.55,https://letterboxd.com//film/sisters/
40,Silent Light,2007,Carlos Reygadas,"['Cornelio Wall', 'Miriam Toews', 'Maria Pankratz', 'Peter Wall', 'Jacobo Klassen', 'Elizabeth Fehr']",,3.86,https://letterboxd.com//film/silent-light/
